datetime,tile_id,city,app,day,hour,traffic,time
2019-03-21 00:00:00,60163,Lyon,Instagram,20190321,0,110102,0:00
2019-03-21 03:00:00,71940,Lyon,Instagram,20190321,3,6625,3:00
2019-03-21 02:00:00,64491,Lyon,Instagram,20190321,2,7456,2:00
2019-03-21 00:00:00,75638,Lyon,Instagram,20190321,0,93423,0:00
2019-03-21 01:00:00,48340,Lyon,Instagram,20190321,1,17014,1:00
2019-03-21 02:00:00,50695,Lyon,Instagram,20190321,2,5572,2:00
2019-03-21 03:00:00,58121,Lyon,Instagram,20190321,3,121850,3:00
2019-03-21 01:00:00,36039,Lyon,Instagram,20190321,1,3197,1:00
2019-03-21 00:00:00,79651,Lyon,Instagram,20190321,0,146395,0:00
2019-03-21 05:00:00,6941,Lyon,Instagram,20190321,5,4426,5:00
2019-03-21 05:00:00,57902,Lyon,Instagram,20190321,5,6457,5:00
2019-03-21 02:00:00,78561,Lyon,Instagram,20190321,2,3037,2:00
2019-03-21 02:00:00,65822,Lyon,Instagram,20190321,2,21242,2:00
2019-03-21 05:00:00,56344,Lyon,Instagram,20190321,5,62115,5:00
2019-03-21 02:00:00,114599,Lyon,Instagram,20190321,2,9746,2:00
2019-03-21 02:00:00,51241,Lyon,Instagram,20190321,2,9215,2:00
2019-03-21 00:00:00,62980,Lyon,Instagram,20190321,0,904734,0:00
2019-03-21 00:00:00,94245,Lyon,Instagram,20190321,0,27559,0:00
2019-03-21 05:00:00,59525,Lyon,Instagram,20190321,5,97004,5:00
2019-03-21 03:00:00,91639,Lyon,Instagram,20190321,3,5523,3:00
2019-03-21 02:00:00,79797,Lyon,Instagram,20190321,2,3114,2:00
2019-03-21 01:00:00,84547,Lyon,Instagram,20190321,1,33193,1:00
2019-03-21 01:00:00,69567,Lyon,Instagram,20190321,1,228227,1:00
2019-03-21 04:00:00,112057,Lyon,Instagram,20190321,4,79,4:00
2019-03-21 05:00:00,91127,Lyon,Instagram,20190321,5,1592,5:00
2019-03-21 03:00:00,83239,Lyon,Instagram,20190321,3,622,3:00
2019-03-21 00:00:00,108573,Lyon,Instagram,20190321,0,7313,0:00
2019-03-21 00:00:00,56892,Lyon,Instagram,20190321,0,13715,0:00
2019-03-21 05:00:00,59771,Lyon,Instagram,20190321,5,10578,5:00
2019-03-21 04:00:00,58591,Lyon,Instagram,20190321,4,4387,4:00
2019-03-21 02:00:00,69766,Lyon,Instagram,20190321,2,1909,2:00
2019-03-21 02:00:00,75351,Lyon,Instagram,20190321,2,25735,2:00
2019-03-21 02:00:00,75260,Lyon,Instagram,20190321,2,7816,2:00
2019-03-21 05:00:00,61561,Lyon,Instagram,20190321,5,43173,5:00
2019-03-21 03:00:00,14992,Lyon,Instagram,20190321,3,6164,3:00
2019-03-21 05:00:00,89666,Lyon,Instagram,20190321,5,12217,5:00
2019-03-21 03:00:00,36659,Lyon,Instagram,20190321,3,3495,3:00
2019-03-21 02:00:00,45166,Lyon,Instagram,20190321,2,13110,2:00
2019-03-21 01:00:00,71613,Lyon,Instagram,20190321,1,172127,1:00
2019-03-21 01:00:00,108914,Lyon,Instagram,20190321,1,1135,1:00
2019-03-21 03:00:00,77438,Lyon,Instagram,20190321,3,2619,3:00
2019-03-21 01:00:00,104290,Lyon,Instagram,20190321,1,8695,1:00
2019-03-21 03:00:00,74960,Lyon,Instagram,20190321,3,7227,3:00
2019-03-21 01:00:00,55882,Lyon,Instagram,20190321,1,12963,1:00
2019-03-21 04:00:00,87898,Lyon,Instagram,20190321,4,15950,4:00
2019-03-21 05:00:00,79584,Lyon,Instagram,20190321,5,15488,5:00
2019-03-21 01:00:00,66794,Lyon,Instagram,20190321,1,10836,1:00
2019-03-21 05:00:00,71800,Lyon,Instagram,20190321,5,2099,5:00
2019-03-21 05:00:00,101414,Lyon,Instagram,20190321,5,3209,5:00
2019-03-21 00:00:00,66434,Lyon,Instagram,20190321,0,370962,0:00
2019-03-21 00:00:00,79648,Lyon,Instagram,20190321,0,56630,0:00
2019-03-21 00:00:00,38031,Lyon,Instagram,20190321,0,25576,0:00
2019-03-21 04:00:00,84797,Lyon,Instagram,20190321,4,10925,4:00
2019-03-21 01:00:00,29669,Lyon,Instagram,20190321,1,17724,1:00
2019-03-21 01:00:00,88234,Lyon,Instagram,20190321,1,11854,1:00
2019-03-21 02:00:00,81478,Lyon,Instagram,20190321,2,1835,2:00
2019-03-21 00:00:00,47183,Lyon,Instagram,20190321,0,52859,0:00
2019-03-21 05:00:00,62873,Lyon,Instagram,20190321,5,5197,5:00
2019-03-21 03:00:00,73200,Lyon,Instagram,20190321,3,2973,3:00
2019-03-21 00:00:00,49552,Lyon,Instagram,20190321,0,36721,0:00
2019-03-21 05:00:00,49563,Lyon,Instagram,20190321,5,12837,5:00
2019-03-21 01:00:00,97146,Lyon,Instagram,20190321,1,1602,1:00
2019-03-21 01:00:00,81739,Lyon,Instagram,20190321,1,13316,1:00
2019-03-21 02:00:00,53808,Lyon,Instagram,20190321,2,130687,2:00
2019-03-21 02:00:00,94014,Lyon,Instagram,20190321,2,4470,2:00
2019-03-21 05:00:00,84830,Lyon,Instagram,20190321,5,1599,5:00
2019-03-21 01:00:00,72283,Lyon,Instagram,20190321,1,11380,1:00
2019-03-21 02:00:00,60904,Lyon,Instagram,20190321,2,16666,2:00
2019-03-21 03:00:00,91918,Lyon,Instagram,20190321,3,4,3:00
2019-03-21 00:00:00,92266,Lyon,Instagram,20190321,0,11060,0:00
2019-03-21 03:00:00,78975,Lyon,Instagram,20190321,3,1247,3:00
2019-03-21 00:00:00,69962,Lyon,Instagram,20190321,0,23015,0:00
2019-03-21 00:00:00,94543,Lyon,Instagram,20190321,0,38776,0:00
2019-03-21 02:00:00,110258,Lyon,Instagram,20190321,2,689,2:00
2019-03-21 01:00:00,91613,Lyon,Instagram,20190321,1,6503,1:00
2019-03-21 02:00:00,73286,Lyon,Instagram,20190321,2,18732,2:00
2019-03-21 05:00:00,5785,Lyon,Instagram,20190321,5,1745,5:00
2019-03-21 04:00:00,88512,Lyon,Instagram,20190321,4,1699,4:00
2019-03-21 00:00:00,62218,Lyon,Instagram,20190321,0,27387,0:00
2019-03-21 02:00:00,43196,Lyon,Instagram,20190321,2,8178,2:00
2019-03-21 04:00:00,42982,Lyon,Instagram,20190321,4,1029,4:00
2019-03-21 05:00:00,71365,Lyon,Instagram,20190321,5,7950,5:00
2019-03-21 05:00:00,54013,Lyon,Instagram,20190321,5,8582,5:00
2019-03-21 05:00:00,63828,Lyon,Instagram,20190321,5,84532,5:00
2019-03-21 00:00:00,76010,Lyon,Instagram,20190321,0,18085,0:00
2019-03-21 02:00:00,36892,Lyon,Instagram,20190321,2,2711,2:00
2019-03-21 03:00:00,67937,Lyon,Instagram,20190321,3,3547,3:00
2019-03-21 02:00:00,70978,Lyon,Instagram,20190321,2,41303,2:00
2019-03-21 04:00:00,68874,Lyon,Instagram,20190321,4,5702,4:00
2019-03-21 01:00:00,57722,Lyon,Instagram,20190321,1,7024,1:00
2019-03-21 05:00:00,102293,Lyon,Instagram,20190321,5,4136,5:00
2019-03-21 04:00:00,109170,Lyon,Instagram,20190321,4,492,4:00
2019-03-21 01:00:00,120604,Lyon,Instagram,20190321,1,4647,1:00
2019-03-21 00:00:00,72707,Lyon,Instagram,20190321,0,207516,0:00
2019-03-21 02:00:00,33176,Lyon,Instagram,20190321,2,3718,2:00
2019-03-21 02:00:00,80068,Lyon,Instagram,20190321,2,806,2:00
2019-03-21 02:00:00,88742,Lyon,Instagram,20190321,2,8050,2:00
2019-03-21 04:00:00,8936,Lyon,Instagram,20190321,4,4414,4:00
2019-03-21 01:00:00,64754,Lyon,Instagram,20190321,1,47675,1:00
2019-03-21 05:00:00,43544,Lyon,Instagram,20190321,5,11265,5:00
2019-03-21 03:00:00,71521,Lyon,Instagram,20190321,3,4924,3:00
2019-03-21 00:00:00,53814,Lyon,Instagram,20190321,0,174365,0:00
2019-03-21 02:00:00,39139,Lyon,Instagram,20190321,2,13186,2:00
2019-03-21 04:00:00,93342,Lyon,Instagram,20190321,4,6057,4:00
2019-03-21 05:00:00,68860,Lyon,Instagram,20190321,5,4604,5:00
2019-03-21 04:00:00,39436,Lyon,Instagram,20190321,4,7679,4:00
2019-03-21 02:00:00,59049,Lyon,Instagram,20190321,2,5938,2:00
2019-03-21 02:00:00,55025,Lyon,Instagram,20190321,2,25662,2:00
2019-03-21 04:00:00,86487,Lyon,Instagram,20190321,4,4405,4:00
2019-03-21 01:00:00,46325,Lyon,Instagram,20190321,1,22161,1:00
2019-03-21 00:00:00,36955,Lyon,Instagram,20190321,0,22592,0:00
2019-03-21 02:00:00,28516,Lyon,Instagram,20190321,2,4266,2:00
2019-03-21 02:00:00,61555,Lyon,Instagram,20190321,2,60630,2:00
2019-03-21 02:00:00,54610,Lyon,Instagram,20190321,2,17131,2:00
2019-03-21 00:00:00,85927,Lyon,Instagram,20190321,0,47338,0:00
2019-03-21 02:00:00,94822,Lyon,Instagram,20190321,2,3550,2:00
2019-03-21 02:00:00,108889,Lyon,Instagram,20190321,2,2846,2:00
2019-03-21 05:00:00,72963,Lyon,Instagram,20190321,5,9436,5:00
2019-03-21 00:00:00,80733,Lyon,Instagram,20190321,0,88319,0:00
2019-03-21 00:00:00,64615,Lyon,Instagram,20190321,0,23232,0:00
2019-03-21 03:00:00,73764,Lyon,Instagram,20190321,3,1816,3:00
2019-03-21 05:00:00,50908,Lyon,Instagram,20190321,5,29803,5:00
2019-03-21 00:00:00,47304,Lyon,Instagram,20190321,0,9223,0:00
2019-03-21 05:00:00,66065,Lyon,Instagram,20190321,5,13241,5:00
2019-03-21 03:00:00,43721,Lyon,Instagram,20190321,3,15605,3:00
2019-03-21 02:00:00,82724,Lyon,Instagram,20190321,2,5264,2:00
2019-03-21 01:00:00,85642,Lyon,Instagram,20190321,1,15144,1:00
2019-03-21 01:00:00,33662,Lyon,Instagram,20190321,1,12491,1:00
2019-03-21 05:00:00,37740,Lyon,Instagram,20190321,5,3246,5:00
2019-03-21 04:00:00,66669,Lyon,Instagram,20190321,4,38436,4:00
2019-03-21 04:00:00,78861,Lyon,Instagram,20190321,4,4242,4:00
2019-03-21 03:00:00,60573,Lyon,Instagram,20190321,3,2311,3:00
2019-03-21 02:00:00,90492,Lyon,Instagram,20190321,2,12010,2:00
2019-03-21 04:00:00,53758,Lyon,Instagram,20190321,4,33756,4:00
2019-03-21 00:00:00,68707,Lyon,Instagram,20190321,0,602728,0:00
2019-03-21 05:00:00,39718,Lyon,Instagram,20190321,5,11548,5:00
2019-03-21 05:00:00,53594,Lyon,Instagram,20190321,5,21662,5:00
2019-03-21 00:00:00,89663,Lyon,Instagram,20190321,0,9409,0:00
2019-03-21 01:00:00,34046,Lyon,Instagram,20190321,1,10066,1:00
2019-03-21 00:00:00,68642,Lyon,Instagram,20190321,0,27061,0:00
2019-03-21 00:00:00,93653,Lyon,Instagram,20190321,0,45692,0:00
2019-03-21 00:00:00,40959,Lyon,Instagram,20190321,0,15323,0:00
2019-03-21 04:00:00,88735,Lyon,Instagram,20190321,4,2318,4:00
2019-03-21 03:00:00,38948,Lyon,Instagram,20190321,3,1251,3:00
2019-03-21 05:00:00,55512,Lyon,Instagram,20190321,5,43501,5:00
2019-03-21 02:00:00,78961,Lyon,Instagram,20190321,2,2988,2:00
2019-03-21 03:00:00,56758,Lyon,Instagram,20190321,3,6755,3:00
2019-03-21 00:00:00,45126,Lyon,Instagram,20190321,0,15433,0:00
2019-03-21 00:00:00,112287,Lyon,Instagram,20190321,0,1055,0:00
2019-03-21 05:00:00,59463,Lyon,Instagram,20190321,5,17723,5:00
2019-03-21 03:00:00,82496,Lyon,Instagram,20190321,3,5616,3:00
2019-03-21 05:00:00,57844,Lyon,Instagram,20190321,5,37761,5:00
2019-03-21 05:00:00,69585,Lyon,Instagram,20190321,5,147831,5:00
2019-03-21 03:00:00,87377,Lyon,Instagram,20190321,3,6654,3:00
2019-03-21 03:00:00,65598,Lyon,Instagram,20190321,3,81641,3:00
2019-03-21 00:00:00,69818,Lyon,Instagram,20190321,0,168398,0:00
2019-03-21 05:00:00,72039,Lyon,Instagram,20190321,5,3192,5:00
2019-03-21 02:00:00,63872,Lyon,Instagram,20190321,2,46565,2:00
2019-03-21 05:00:00,76927,Lyon,Instagram,20190321,5,2164,5:00
2019-03-21 05:00:00,98581,Lyon,Instagram,20190321,5,3245,5:00
2019-03-21 02:00:00,75062,Lyon,Instagram,20190321,2,22711,2:00
2019-03-21 03:00:00,40926,Lyon,Instagram,20190321,3,1849,3:00
2019-03-21 00:00:00,55560,Lyon,Instagram,20190321,0,80193,0:00
2019-03-21 02:00:00,113992,Lyon,Instagram,20190321,2,1436,2:00
2019-03-21 03:00:00,75722,Lyon,Instagram,20190321,3,4068,3:00
2019-03-21 01:00:00,76244,Lyon,Instagram,20190321,1,13001,1:00
2019-03-21 00:00:00,71005,Lyon,Instagram,20190321,0,366933,0:00
2019-03-21 05:00:00,93925,Lyon,Instagram,20190321,5,315,5:00
2019-03-21 02:00:00,41148,Lyon,Instagram,20190321,2,19220,2:00
2019-03-21 02:00:00,76414,Lyon,Instagram,20190321,2,5896,2:00
2019-03-21 03:00:00,62499,Lyon,Instagram,20190321,3,787,3:00
2019-03-21 01:00:00,81216,Lyon,Instagram,20190321,1,6608,1:00
2019-03-21 01:00:00,80968,Lyon,Instagram,20190321,1,4643,1:00
2019-03-21 04:00:00,91929,Lyon,Instagram,20190321,4,2603,4:00
2019-03-21 02:00:00,37451,Lyon,Instagram,20190321,2,2405,2:00
2019-03-21 04:00:00,80087,Lyon,Instagram,20190321,4,1515,4:00
2019-03-21 00:00:00,57602,Lyon,Instagram,20190321,0,33498,0:00
2019-03-21 02:00:00,80618,Lyon,Instagram,20190321,2,1348,2:00
2019-03-21 00:00:00,45576,Lyon,Instagram,20190321,0,7966,0:00
2019-03-21 05:00:00,71166,Lyon,Instagram,20190321,5,3030,5:00
2019-03-21 05:00:00,64320,Lyon,Instagram,20190321,5,2340,5:00
2019-03-21 00:00:00,29633,Lyon,Instagram,20190321,0,9299,0:00
2019-03-21 03:00:00,109690,Lyon,Instagram,20190321,3,839,3:00
2019-03-21 02:00:00,64081,Lyon,Instagram,20190321,2,13638,2:00
2019-03-21 05:00:00,88165,Lyon,Instagram,20190321,5,1749,5:00
2019-03-21 02:00:00,32255,Lyon,Instagram,20190321,2,9657,2:00
2019-03-21 05:00:00,34275,Lyon,Instagram,20190321,5,8658,5:00
2019-03-21 04:00:00,70836,Lyon,Instagram,20190321,4,7273,4:00
2019-03-21 03:00:00,106600,Lyon,Instagram,20190321,3,1634,3:00
2019-03-21 02:00:00,42101,Lyon,Instagram,20190321,2,41410,2:00
2019-03-21 03:00:00,42711,Lyon,Instagram,20190321,3,304,3:00
2019-03-21 00:00:00,82090,Lyon,Instagram,20190321,0,5911,0:00
2019-03-21 05:00:00,35222,Lyon,Instagram,20190321,5,8047,5:00
2019-03-21 01:00:00,4368,Lyon,Instagram,20190321,1,13986,1:00
2019-03-21 01:00:00,75237,Lyon,Instagram,20190321,1,16139,1:00
2019-03-21 00:00:00,57267,Lyon,Instagram,20190321,0,258798,0:00
2019-03-21 00:00:00,44613,Lyon,Instagram,20190321,0,33253,0:00
2019-03-21 00:00:00,46101,Lyon,Instagram,20190321,0,67554,0:00
2019-03-21 02:00:00,48289,Lyon,Instagram,20190321,2,8189,2:00
2019-03-21 02:00:00,112539,Lyon,Instagram,20190321,2,592,2:00
2019-03-21 04:00:00,71182,Lyon,Instagram,20190321,4,2836,4:00
2019-03-21 02:00:00,94212,Lyon,Instagram,20190321,2,354,2:00
